
Адаменко,76.200
Бовсунівський,88.800
Бондар В.,83.400
Бугайов,79.400
Верещак,85.400
Вінницький,77.800
Віхляєв,71.600
Вовк,85.400
Гордієнко,77.200
Граб,80.400
Дубинський,80.600
Заєць,80.400
Зайченко І.,79.800
Згуровський,80.400
Зозуля,75.200
Кершков,88.800
Кущ,78.600
Лейзьо,71.000
Линник,71.000
Литвинчук,83.400
Максай,85.800
Мамута,76.200
Мамчук,88.200
Мілашевський,83.400
Міщенко,75.000
Мовчан,83.000
Морозов,80.400
Павленко,91.400
Павленко,71.400
Пархоменко,82.800
Печена,83.000
Прокопенко,82.400
Порошенко,80.200
Семченко,77.000
Смищенко,74.000
Сокоренко,85.200
Стройванс,74.200
Трамп,78.800
Федорович,86.200
Халеп,87.600
Хмельницький,82.200
