40
Lisogor,81,98,96,84,83,TRUE
Lutska,99,96,75,65,70,TRUE
Maksay,80,81,100,82,86,FALSE
Mamuta,70,90,85,71,65,FALSE
Mamchuk,79,93,82,86,101,FALSE
Markushevskiy,89,85,100,90,92,TRUE
Mironyuk,85,92,80,70,60,TRUE
Milashevskiy,63,90,94,85,85,FALSE
Mischenko,71,60,69,88,87,FALSE
Movchan,94,76,89,91,65,FALSE
Morozov,75,64,74,96,93,FALSE
Novakov,90,69,79,68,101,TRUE
Opanasenko,91,100,92,73,84,TRUE
Osipenko,75,75,91,69,84,TRUE
Pavlenko,95,100,94,86,82,FALSE
Pavlenko,63,68,69,74,83,FALSE
Parkhomenko,97,71,93,63,90,FALSE
Pechena,94,98,81,77,65,FALSE
Pechenizkiy,94,79,94,94,75,TRUE
Pilipenko,89,64,78,62,90,TRUE
Prokopenko,93,96,65,94,64,FALSE
Poroshenko,82,91,71,67,90,FALSE
Shanyuk,62,84,92,86,94,TRUE
Semechenko,70,84,101,68,62,FALSE
Senin,77,74,66,80,100,TRUE
Sytnyk,70,86,101,63,68,TRUE
Sych,64,100,95,76,83,TRUE
Smischenko,97,68,74,71,60,FALSE
Sokorenko,93,97,78,65,93,FALSE
Solianikov,79,86,80,71,75,TRUE
Stroyvans,64,60,93,88,66,FALSE
Tramp,65,62,100,66,101,FALSE
Trohimenko,87,101,69,96,64,TRUE
Fedorovych,82,92,76,88,93,FALSE
Khalep,91,99,70,78,100,FALSE
Khmelnitskiy,96,87,87,60,81,FALSE
Tsaruk,60,76,99,63,73,TRUE
Shatrovskiy,90,60,101,89,75,TRUE
Sheludko,90,90,94,93,65,TRUE
Urchishyn,90,85,82,86,101,TRUE
